Name,Vertices,Edges,Density,Max Degree,Lower Bound,Upper Bound,Triangles,Average Degree,Std Dev Degree,Solution Size,Time Taken (seconds),Solution Size_scip,Time Taken (seconds)_scip,Solution Size_scip_reduced,Time Taken (seconds)_scip_reduced,Solution Size_highs_reduced,Time Taken (seconds)_highs_reduced,Isolated,Single Edge,Dominating,Set Size
exact_135.gr,1266,6451,0.00805625,112,39.9809,481,2491,10.1912,13.2376,249.0,0.01,249.0,0.01,158.0,0.0,158.0,0.0,0,91,7,91
exact_137.gr,1760,15936,0.0102951,20,83.8095,335,3520,18.1091,3.39878,,,,,,,,,0,0,0,0
exact_139.gr,1993,14525,0.00731728,17,117.872,474,1731,14.576,3.08263,,,,,,,,,0,0,0,0
exact_141.gr,2736,8326,0.00222532,17,160.775,440,0,6.08626,4.84465,,,,,,,,,0,6,0,6
exact_143.gr,4065,5405,0.000654352,19,878.36,1295,309,2.65929,1.09736,1143.0,0.48,1143.0,0.31,-1.0,-1.0,-1.0,-1.0,0,24,387,24
exact_145.gr,5064,5636,0.000439642,9,1466.82,1854,114,2.22591,0.667983,1611.0,6.27,1611.0,4.8,1605.0,10.88,1605.0,7.29,0,6,107,6
exact_147.gr,5534,8472,0.000553371,507,207.903,5027,2405,3.0618,9.322,437.0,0.01,437.0,0.02,221.0,0.01,221.0,0.0,0,216,6,216
exact_149.gr,6400,22400,0.00109392,28,220.69,800,0,7.0,7.93725,,,,,,,,,0,0,0,0
exact_151.gr,2380,14265,0.00503884,111,21.25,297,2557,11.9874,24.3218,,,,,,,,,0,0,0,0
exact_153.gr,1882,5511,0.00311352,6,268.857,431,3630,5.85654,0.52121,,,,,,,,,0,0,5,0
exact_155.gr,2146,35052,0.0152295,35,60.0505,70,220362,32.6673,4.96683,70.0,0.02,70.0,0.04,-1.0,-1.0,-1.0,-1.0,0,0,7588,0
exact_157.gr,2169,6488,0.00275945,169,198.072,948,0,5.98248,8.54795,835.0,0.01,835.0,0.01,36.0,0.0,36.0,0.0,0,799,0,799
exact_159.gr,2230,3218,0.0012948,17,443.948,706,542,2.8861,1.64454,626.0,0.06,626.0,0.05,-1.0,-1.0,-1.0,-1.0,0,105,382,105
exact_161.gr,2458,3194,0.00105774,12,558.893,826,165,2.59886,1.12239,721.0,0.13,721.0,0.12,691.0,0.15,691.0,0.24,0,30,163,30
exact_163.gr,3829,5566,0.000759479,18,741.309,1194,584,2.90729,1.44166,1031.0,0.16,1031.0,0.22,1005.0,0.2,1005.0,0.16,0,26,499,26
exact_165.gr,2554,3206,0.000983381,21,612.033,857,187,2.51057,1.16531,756.0,0.47,756.0,0.49,748.0,0.26,748.0,0.26,0,8,160,8
exact_167.gr,2572,2999,0.000907055,17,700.741,935,95,2.33204,1.00667,802.0,1.0,802.0,1.1,799.0,1.44,799.0,0.53,0,3,91,3
exact_169.gr,2678,3243,0.000904728,13,693.284,949,111,2.42196,0.976801,819.0,1.97,819.0,1.61,-1.0,-1.0,-1.0,-1.0,0,12,91,12
